cenario,mau,lugares_ativos,pct_logados,pct_usuarios_ia,buscas_por_usuario_ia_mes,roteiros_por_usuario_ia_mes,avaliacoes_ia_por_usuario_mes,usuarios_ia,buscas_mes,roteiros_mes,avaliacoes_ia_mes,custo_busca_unit_brl,custo_ia_brl,custo_whatsapp_brl,custos_fixos_brl,custo_total_brl,parceiros_pagantes,mrr_b2b_brl,assinantes_premium_b2c,mrr_b2c_brl,margem_brl,notas
INPUT_PREMISSAS,100,100,0.4,0.45,12,1.5,0.35,mau*pct_logados*pct_usuarios_ia,usuarios_ia*buscas_por_usuario,usuarios_ia*roteiros_por_usuario,usuarios_ia*avaliacoes_por_usuario,0.15 se lugares=100; 0.44 se 300,buscas*custo_busca + roteiros*0.16 + av*0.02,mau*0.15 [ESTIMATIVA],543,custo_ia + whatsapp + fixos,5,parceiros*299,3,assinantes*9.90,mrr_b2b + mrr_b2c - custo_total,Editar INPUT; ver CUSTOS.md
conservador,10,100,0.35,0.25,4,0.4,0.15,0.9,4,0,0,0.15,0.6,1.5,543,545.1,2,598,1,9.9,62.80,
conservador,10,300,0.35,0.25,4,0.4,0.15,0.9,4,0,0,0.44,1.76,1.5,543,546.26,2,598,1,9.9,61.64,
conservador,100,100,0.35,0.25,4,0.4,0.15,8.8,35,4,1,0.15,5.91,15.0,543,563.91,3,897,3,29.7,362.79,
conservador,100,300,0.35,0.25,4,0.4,0.15,8.8,35,4,1,0.44,16.06,15.0,543,574.06,3,897,3,29.7,352.64,
conservador,200,100,0.35,0.25,4,0.4,0.15,17.5,70,7,3,0.15,11.68,30.0,543,584.68,12,3588,6,59.4,3062.72,
conservador,200,300,0.35,0.25,4,0.4,0.15,17.5,70,7,3,0.44,31.98,30.0,543,604.98,12,3588,6,59.4,3042.42,
conservador,500,100,0.35,0.25,4,0.4,0.15,43.8,175,18,7,0.15,29.27,75.0,543,647.27,25,7475,15,148.5,6976.23,
conservador,500,300,0.35,0.25,4,0.4,0.15,43.8,175,18,7,0.44,80.02,75.0,543,698.02,25,7475,15,148.5,6925.48,
medio,10,100,0.4,0.45,12,1.5,0.35,1.8,22,3,1,0.15,3.8,1.5,543,548.3,2,598,1,9.9,59.60,
medio,10,300,0.4,0.45,12,1.5,0.35,1.8,22,3,1,0.44,10.18,1.5,543,554.68,2,598,1,9.9,53.22,
medio,100,100,0.4,0.45,12,1.5,0.35,18.0,216,27,6,0.15,36.84,15.0,543,594.84,5,1495,3,29.7,929.86,
medio,100,300,0.4,0.45,12,1.5,0.35,18.0,216,27,6,0.44,99.48,15.0,543,657.48,5,1495,3,29.7,867.22,
medio,200,100,0.4,0.45,12,1.5,0.35,36.0,432,54,13,0.15,73.7,30.0,543,646.7,12,3588,6,59.4,3000.70,
medio,200,300,0.4,0.45,12,1.5,0.35,36.0,432,54,13,0.44,198.98,30.0,543,771.98,12,3588,6,59.4,2875.42,
medio,500,100,0.4,0.45,12,1.5,0.35,90.0,1080,135,31,0.15,184.22,75.0,543,802.22,25,7475,15,148.5,6821.28,
medio,500,300,0.4,0.45,12,1.5,0.35,90.0,1080,135,31,0.44,497.42,75.0,543,1115.42,25,7475,15,148.5,6508.08,
alta_temporada,10,100,0.45,0.6,28,5,0.6,2.7,76,14,2,0.15,13.68,1.5,543,558.18,2,598,1,9.9,49.72,
alta_temporada,10,300,0.45,0.6,28,5,0.6,2.7,76,14,2,0.44,35.72,1.5,543,580.22,2,598,1,9.9,27.68,
alta_temporada,100,100,0.45,0.6,28,5,0.6,27.0,756,135,16,0.15,135.32,15.0,543,693.32,9,2691,3,29.7,2027.38,
alta_temporada,100,300,0.45,0.6,28,5,0.6,27.0,756,135,16,0.44,354.56,15.0,543,912.56,9,2691,3,29.7,1808.14,
alta_temporada,200,100,0.45,0.6,28,5,0.6,54.0,1512,270,32,0.15,270.64,30.0,543,843.64,12,3588,6,59.4,2803.76,
alta_temporada,200,300,0.45,0.6,28,5,0.6,54.0,1512,270,32,0.44,709.12,30.0,543,1282.12,12,3588,6,59.4,2365.28,
alta_temporada,500,100,0.45,0.6,28,5,0.6,135.0,3780,675,81,0.15,676.62,75.0,543,1294.62,25,7475,15,148.5,6328.88,
alta_temporada,500,300,0.45,0.6,28,5,0.6,135.0,3780,675,81,0.44,1772.82,75.0,543,2390.82,25,7475,15,148.5,5232.68,
teto_teorico,10,100,0.5,1.0,180,60,1.0,5.0,900,300,5,0.15,231.2,1.5,543,775.7,2,598,1,9.9,-167.80,
teto_teorico,10,300,0.5,1.0,180,60,1.0,5.0,900,300,5,0.44,492.2,1.5,543,1036.7,2,598,1,9.9,-437.80,
teto_teorico,100,100,0.5,1.0,180,60,1.0,50.0,9000,3000,50,0.15,2312.0,15.0,543,2870.0,3,897,3,29.7,-1943.30,
teto_teorico,100,300,0.5,1.0,180,60,1.0,50.0,9000,3000,50,0.44,4922.0,15.0,543,5480.0,3,897,3,29.7,-4553.30,
teto_teorico,200,100,0.5,1.0,180,60,1.0,100.0,18000,6000,100,0.15,4624.0,30.0,543,5197.0,12,3588,6,59.4,-1549.60,
teto_teorico,200,300,0.5,1.0,180,60,1.0,100.0,18000,6000,100,0.44,9844.0,30.0,543,10417.0,12,3588,6,59.4,-6769.60,
teto_teorico,500,100,0.5,1.0,180,60,1.0,250.0,45000,15000,250,0.15,11560.0,75.0,543,12178.0,25,7475,15,148.5,-4657.50,
teto_teorico,500,300,0.5,1.0,180,60,1.0,250.0,45000,15000,250,0.44,24610.0,75.0,543,25228.0,25,7475,15,148.5,-17637.50,
v2_multitier_exemplo,300,300,0.4,0.45,12,1.5,0.35,54,648,81,19,0.44,298.46,45,543,886.46,18,5382,15,148.5,4644.04,V2 mix tiers; ticket médio ~R$152; não no código
lancamento_referencia,100,100,0.4,0.45,12,1.5,0.35,18.0,216,27,6,0.15,36.84,15.0,543,594.84,5,1495,3,29.7,929.86,Resumo CUSTOS.md §10
mes6_referencia,400,300,0.4,0.45,12,1.5,0.35,72.0,864,108,25,0.44,397.94,60.0,543,1000.94,18,5382,20,198.0,4579.06,Resumo CUSTOS.md §10
